Account Name,DBA,City,State,County,Business License App Category Name,Expire Date
"A Dog's World, LLC",N/A,Littleton,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
A Friend of Jack Rescue,N/A,Denver,CO,DENVER,Pet Animal Large Rescue,3/2/2026
A Furry Affair of Colorado,N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"A Leg Up, Inc.",All About Paws,Wheat Ridge,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
"A Leg Up, Inc.",All About Paws,Wheat Ridge,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
A Touch of Magic Grooming,A Touch of Magic Grooming,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
A wild hair pet grooming service LLC,N/A,Grand Junction,CO,MESA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"A+ Pet Spa, LLC",N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Abigail Tucker,Abby's Grooming,Craig,CO,MOFFAT,Pet Grooming Facility - Secondary Facility Owner,3/2/2026
Above and Beyond English Setter Rescue,N/A,Parker,CO,DOUGLAS,Pet Animal Small Rescue,3/2/2026
Accountable K9,N/A,Moffat,CO,SAGUACHE,Pet Boarding and/or Training,3/2/2026
Accountable K9,N/A,Moffat,CO,SAGUACHE,Large Scale Dog Breeder,3/2/2026
"ACVH, PC",Aspen Creek Veterinary Hospital,Conifer,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
Adams County Animal Shelter / Adoption Center,Riverdale Animal Shelter,Brighton,CO,ADAMS,Pet Animal Large Shelter,3/2/2026
Adrian L. Martinez,Scales 'N Tails South,Englewood,CO,ARAPAHOE,Retail / Wholesale of Pet Animals,3/2/2026
Adrian L. Martinez,Scales 'N Tails South,Englewood,CO,ARAPAHOE,Small Animal Breeder,3/2/2026
Adriana Lopez Zavala,Outstanding Pet Servant,Arvada,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Adriana Lopez Zavala,Outstanding Pet Servant,Arvada,CO,JEFFERSON,Pet Grooming Facility - Self Wash Facility,3/2/2026
Adriann Wycoff,County Line Kennels,Brighton,CO,WELD,Pet Boarding and/or Training,3/2/2026
Adventure K9 LLC,Adventure K9,Erie,CO,WELD,Pet Handler,3/2/2026
Agape Professional Pet Grooming LLC,N/A,Clifton,CO,MESA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Agents of Chaos TNR,Agents of Chaos TNR,Northglenn,CO,ADAMS,Pet Animal Small Rescue,3/2/2026
Aggie Animal Care LLC,N/A,Florissant,CO,TELLER,Pet Grooming Facility - Mobile Groomer,3/2/2026
"AHC, Inc.",Arapahoe Hunt Club,Watkins,CO,ARAPAHOE,Commercial Pet Animal Facility,3/2/2026
Airedale Terrier Rescue & Adoption,N/A,Boulder,CO,BOULDER,Pet Animal Small Rescue,3/2/2026
AJ Pet Services,N/A,aurora,CO,ARAPAHOE,Cat Breeder,3/2/2026
Alexandra B. Sherer,N/A,Longmont,CO,BOULDER,Independent Contractor (IC) Pet Groomer,3/2/2026
Alexandra N Sestokas,Beyond Beautiful Boxers,Colorado Springs,CO,EL PASO,Small Scale Dog Breeder,3/2/2026
Alexandria L Easterwood,Grooming by Alexandria,Grand Junction,CO,MESA,Independent Contractor (IC) Pet Groomer,3/2/2026
Alexis Oldham,N/A,Brighton,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026
"All 4 Paws, LLC",All-4-Paws Grooming,Alamosa,CO,ALAMOSA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"All 4 Paws, LLC",N/A,Alamosa,CO,ALAMOSA,Pet Boarding and/or Training,3/2/2026
"All Aboard Animal Rescue and Shelter, Inc.",N/A,Fort Collins,CO,LARIMER,Pet Animal Large Rescue,3/2/2026
All About Paws Pet Spa LLC,N/A,Fort Morgan,CO,MORGAN,Pet Grooming Facility - Primary Facility Owner,3/2/2026
All American Reptile and Plant Expo,All American Reptile and Plant Expo,Castle Rock,CO,DOUGLAS,Retail / Wholesale of Pet Animals,3/2/2026
All Dogs Unleashed Colorado LLC,N/A,Colorado Springs,CO,EL PASO,Pet Boarding and/or Training,3/2/2026
All Dogs Unleashed Colorado LLC,N/A,Colorado Springs,CO,EL PASO,Pet Handler,3/2/2026
All Dogs Unleashed Colorado LLC,N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
All Dogs Unleashed Parker LLC,All Dogs Unleashed,Parker,CO,DOUGLAS,Pet Boarding and/or Training,3/2/2026
All Mixed Up Dog Rescue,German Shepherd Rescue of the Rockies,Fort Morgan,CO,MORGAN,Pet Animal Small Rescue,3/2/2026
All Points West German Shorthaired Pointer Rescue,N/A,Northglenn,CO,ADAMS,Pet Animal Small Rescue,3/2/2026
Allbrick Veterinary Clinic,Allbrick Veterinary Clinic,Denver,CO,ADAMS,Pet Boarding and/or Training,3/2/2026
Allbrick Veterinary Clinic,Allbrick Veterinary Clinic,Denver,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Allison Keany,Allison's Dog Grooming,Woodland Park,CO,TELLER,Pet Grooming Facility - Mobile Groomer,3/2/2026
Allure Dog Training,Charmed Dog Training,Peyton colorado,CO,EL PASO,Pet Handler,3/2/2026
Alma J. Wirth,Lucky Dog Grooming,Littleton,CO,JEFFERSON,Pet Handler,3/2/2026
Alma J. Wirth,Lucky Dog Grooming,Littleton,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Almost Home Adoptions,N/A,Westminster,CO,JEFFERSON,Pet Animal Small Shelter,3/2/2026
Alpha Dog Care LLC,N/A,Salida,CO,CHAFFEE,Pet Boarding and/or Training,3/2/2026
Alpha Dog Care LLC,N/A,Salida,CO,CHAFFEE,Pet Grooming Facility - Self Wash Facility,3/2/2026
"Alpine Koi & Homescapes, LLC",N/A,Fort Collins,CO,LARIMER,Aquarium Only,3/2/2026
"Alpine Veterinary Hospital of Greeley, Inc.",N/A,Greeley,CO,WELD,Pet Boarding and/or Training,3/2/2026
Altitude Corals,N/A,Timnath,CO,LARIMER,Aquarium Only,3/2/2026
Altitude Exotics,N/A,Aurora,CO,ARAPAHOE,Reptile / Amphibian Breeder,3/2/2026
Altitude K9 Services,AK9S,Colorado Springs,CO,EL PASO,Pet Boarding and/or Training,3/2/2026
Altitude K9 Services,AK9S,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Alyxandra E Eubanks,Snazzy Snout,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Amanda Landreth,N/A,Longmont,CO,BOULDER,Independent Contractor (IC) Pet Groomer,3/2/2026
Amanda Shearer,N/A,Arvada,CO,JEFFERSON,Independent Contractor (IC) Pet Groomer,3/2/2026
Amber Davis Dempsey,Nose 2 Toes,Stratton,CO,KIT CARSON,Pet Boarding and/or Training,3/2/2026
Amber Davis Dempsey,Nose 2 Toes,Stratton,CO,KIT CARSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"American Canine Academy, LLC",N/A,Henderson,CO,ADAMS,Pet Boarding and/or Training,3/2/2026
"American Canine Academy, LLC",N/A,Henderson,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
American Dog Tails LLC,American Dog Tails LLC,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Mobile Groomer,3/2/2026
American latin grooming LLC,N/A,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Amigos de los Animales Colorado,Blue Sky Satos Animal Rescue,Littleton,CO,JEFFERSON,Pet Animal Small Rescue,3/2/2026
Amy Kilroy,Amy's Mobile Grooming,Conifer,CO,JEFFERSON,Independent Contractor (IC) Pet Groomer,3/2/2026
Amy R. Fenner,Colorado Low Rider Puppies,Keenesburg,CO,WELD,Small Scale Dog Breeder,3/2/2026
Amy T Proctor,Paw Parlor,Rocky Ford,CO,OTERO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Amy?s Mountain Dog Training LLC,Dog training,Evergreen,CO,JEFFERSON,Pet Handler,3/2/2026
Ancillary K9 Dog Training,N/A,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
Anderson County Humane Society,BARC the Humane Society,Palestine,TX,OUT OF STATE,Pet Transporter,3/2/2026
Andrea Andersen,A Andersen Aviary,Keenesburg,CO,WELD,Bird Breeder,3/2/2026
Andrea Andersen,A Andersen Aviary,Keenesburg,CO,WELD,Bird Band,3/2/2026
Angela M. Boss,D'tail Dog Grooming Salon,CRAIG,CO,MOFFAT,Pet Grooming Facility - Secondary Facility Owner,3/2/2026
Angela M. Francis,Pet Clips,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Angella M. Finney,Fur the Luv of Dogz,Englewood,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Angels with Paws,Angles with Paws Cat Rescue & Adoption,Lakewood,CO,JEFFERSON,Pet Animal Small Shelter,3/2/2026
Angie Young,N/A,Arvada,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
"Angie's Mobile Pet Grooming, LLC",Four Paws,Grand Junction,CO,MESA,Pet Grooming Facility - Mobile Groomer,3/2/2026
Animal Aid of Colorado,N/A,Berthoud,CO,LARIMER,Pet Animal Small Shelter,3/2/2026
Animal Alliance Dog Grooming LLC,Groomingdales,Littleton,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Animal Attraction, LLC",N/A,Greeley,CO,WELD,Retail / Wholesale of Pet Animals,3/2/2026
"Animal Attraction, LLC",N/A,Greeley,CO,WELD,Small Animal Breeder,3/2/2026
"Animal Attraction, LLC",N/A,Greeley,CO,WELD,Pet Animal Small Shelter,3/2/2026
"Animal Den, Inc.",Eaton Animal Den,Eaton,CO,WELD,Pet Boarding and/or Training,3/2/2026
"Animal Den, Inc.",Eaton Animal Den,Eaton,CO,WELD,Pet Animal Small Shelter,3/2/2026
"Animal Den, Inc.",Eaton Animal Den,Eaton,CO,WELD,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Animal Friends Alliance,"Animal Friends Alliance- Everyday Adoption Center, Petsmart",Westminster,CO,JEFFERSON,Pet Animal Small Shelter,3/2/2026
Animal Friends Alliance,N/A,Fort Collins,CO,LARIMER,Pet Animal Small Shelter,3/2/2026
Animal Friends Alliance,N/A,Fort Collins,CO,LARIMER,Pet Transporter,3/2/2026
"Animal Hospital of The Rockies, LLC",N/A,Estes Park,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
"Animal Hospital of The Rockies, LLC",N/A,Estes Park,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Animal Lovers Pet Supply, LLC",N/A,Breckenridge,CO,SUMMIT,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Animal Lovers Pet Supply, LLC",N/A,Breckenridge,CO,SUMMIT,Pet Grooming Facility - Self Wash Facility,3/2/2026
Animal Rescue of the Rockies,N/A,Fruita,CO,MESA,Pet Animal Large Rescue,3/2/2026
Animal Rescue of the Rockies,Animal Rescue of the Rockies Cat Casita,Fairplay,CO,PARK,Pet Animal Small Shelter,3/2/2026
Animal Services Center of the Mesilla Valley,ASCMV,Las Cruces,NM,OUT OF STATE,Pet Transporter,3/2/2026
Animal Welfare & Protection Society,"PAWS,Paws for Life",Pueblo,CO,PUEBLO,Pet Animal Small Shelter,3/2/2026
Anita Piekarski,N/A,Denver,CO,DENVER,Independent Contractor (IC) Pet Groomer,3/2/2026
Ann Malburg,Colorful Quills,Peyton,CO,EL PASO,Small Animal Breeder,3/2/2026
Anna Ramirez,The Peaceful Groomer,Pagosa Springs,CO,ARCHULETA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Anna Sinclair,Trinity Bird Gallery,Colorado Springs,CO,EL PASO,Bird Breeder,3/2/2026
Anna Sinclair,Trinity Bird Gallery,Colorado Springs,CO,EL PASO,Bird Band,3/2/2026
Anna's Aussies,N/A,Calhan,CO,EL PASO,Small Scale Dog Breeder,3/2/2026
Anne E Backstrom,Centennial Ranch,Platteville,CO,WELD,Small Scale Dog Breeder,3/2/2026
Anne Henningsen,N/A,Monte Vista,CO,RIO GRANDE,Pet Grooming Facility - Secondary Facility Owner,3/2/2026
Anne W. Andrews,Top Dog Mobile Pet Grooming Salon,Manitou Springs,CO,EL PASO,Pet Grooming Facility - Mobile Groomer,3/2/2026
Anne's Grooming,N/A,Westcliffe,CO,CUSTER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Annette B. Rodriguez,Monarch Corgis,Keenesburg,CO,WELD,Small Scale Dog Breeder,3/2/2026
Annie Groom Your Dog,N/A,DENVER,CO,DENVER,Pet Grooming Facility - Mobile Groomer,3/2/2026
"Annie's Grooming, LLC",N/A,Loveland,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Anubis, LLC",Creature Comforts,Durango,CO,LA PLATA,Retail / Wholesale of Pet Animals,3/2/2026
APlusPup,A+Pup,Lakewood,CO,JEFFERSON,Pet Grooming Facility - Mobile Groomer,3/2/2026
"Applewood GJ, LLC",Evolution Dog Wash,Lakewood,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Aquatic Art Inc.,N/A,Littleton,CO,DOUGLAS,Aquarium Only,3/2/2026
"Aquatic Enterprises, Inc.",Fish Connection,Durango,CO,LA PLATA,Retail / Wholesale of Pet Animals,3/2/2026
Aquatic Zoo LLC,Aquatic Zoo,Rifle,CO,GARFIELD,Aquarium Only,3/2/2026
"Aramark Sports and Entertainment Services, LLC",Aramark Mesa Verde,Mancos,CO,MONTEZUMA,Pet Boarding and/or Training,3/2/2026
Archway Adventures,N/A,Greeley,CO,WELD,Pet Animal Small Shelter,3/2/2026
Ark Valley Animal Hospital Inc,N/A,La Junta,CO,OTERO,Pet Boarding and/or Training,3/2/2026
Ark Valley Humane Society,AVHS South,Salida,CO,CHAFFEE,Pet Animal Small Shelter,3/2/2026
"Ark Valley Humane Society, Inc",N/A,Buena Vista,CO,CHAFFEE,Pet Animal Small Shelter,3/2/2026
Ark's Pet Grooming,N/A,Englewood,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Art of the Dog,N/A,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
Art of the Dog,N/A,Denver,CO,DENVER,Pet Handler,3/2/2026
"Art of the Dog 2, LLC",Art of the Dog Canine Academy,Longmont,CO,BOULDER,Pet Boarding and/or Training,3/2/2026
"Aspen Leaf Aviaries, Inc.",World of Birds,Lakewood,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
"Aspen Leaf Aviaries, Inc.",World of Birds,Lakewood,CO,JEFFERSON,Retail / Wholesale of Pet Animals,3/2/2026
"Aspen Leaf Aviaries, Inc.",World of Birds,Lakewood,CO,JEFFERSON,Pet Animal Small Shelter,3/2/2026
"Aspen Leaf Aviaries, Inc.",World of Birds,Lakewood,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Aspen Leaf Aviaries, Inc.",World of Birds,Lakewood,CO,JEFFERSON,Bird Band,3/2/2026
Aspen Pet Concierge,N/A,Aspen,CO,PITKIN,Pet Handler,3/2/2026
Aspen Ragdolls,N/A,Elbert,CO,ELBERT,Cat Breeder,3/2/2026
Aspenglow Mobile Pet Salon LLC,N/A,Castle Rock,CO,DOUGLAS,Pet Grooming Facility - Mobile Groomer,3/2/2026
At Doggishly Dapper Grooming Inc,N/A,Gypsum,CO,EAGLE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Au Naturel Mobile Dog Spa,Mobile dog groomer,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Mobile Groomer,3/2/2026
Aubree Evans,pet groomer,Longmont,CO,BOULDER,Independent Contractor (IC) Pet Groomer,3/2/2026
Audra Laing,Pet Stylist,Lakewood,CO,JEFFERSON,Independent Contractor (IC) Pet Groomer,3/2/2026
Auntie Em inc.,Auntie Em,Firestone,CO,WELD,Pet Grooming Facility - Mobile Groomer,3/2/2026
Auntie Jens Pet Grooming,N/A,Lakewood,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Aussie & Friends Mobile Dog Grooming, LLC",N/A,Severance,CO,WELD,Pet Grooming Facility - Mobile Groomer,3/2/2026
Aussie Mobile Pet Spa of Boulder and Arvada LLC,Aussie Mobile Pet Spa of Boulder and Arvada LLC,Arvada,CO,JEFFERSON,Pet Grooming Facility - Mobile Groomer,3/2/2026
Austin Pets Alive,N/A,Austin,TX,OUT OF STATE,Pet Transporter,3/2/2026
Australian Shepherds Furever,Australian Shepherds Furever,Buena Vista,CO,CHAFFEE,Pet Animal Small Rescue,3/2/2026
Autowash Dove Valley Operating Company,Autowash@Dove Valley,Englewood,CO,ARAPAHOE,Pet Grooming Facility - Self Wash Facility,3/2/2026
Autowash Fox Hill Operating Company,Autowash@Fox Hill,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Self Wash Facility,3/2/2026
Autowash Ken Caryl Operating Company,Autowash@Ken Caryl,Littleton,CO,JEFFERSON,Pet Grooming Facility - Self Wash Facility,3/2/2026
Autowash Larkridge Operating Company,Autowash@Larkridge,Thornton,CO,ADAMS,Pet Grooming Facility - Self Wash Facility,3/2/2026
Autowash Northfield Operating Company,Autowash@Northfield,Denver,CO,DENVER,Pet Grooming Facility - Self Wash Facility,3/2/2026
Autowash Province Center Operating Company,Autowash@Province Center,Highlands Ranch,CO,DOUGLAS,Pet Grooming Facility - Self Wash Facility,3/2/2026
Autowash Stapleton Operating Company,Autowash@Central Park,Denver,CO,DENVER,Pet Grooming Facility - Self Wash Facility,3/2/2026
Autowash Thompson Valley Operating Company,Autowash@Thompson Valley,Loveland,CO,LARIMER,Pet Grooming Facility - Self Wash Facility,3/2/2026
Autowash Vista Ridge Operating Company,Autowash@Vista Ridge,Erie,CO,WELD,Pet Grooming Facility - Self Wash Facility,3/2/2026
"Avalon Aviary, LLC",Avalon Aviary Bird Store,Loveland,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
"Avalon Aviary, LLC",Avalon Aviary Bird Store,Loveland,CO,LARIMER,Retail / Wholesale of Pet Animals,3/2/2026
"Avalon Aviary, LLC",Avalon Aviary Bird Store,Loveland,CO,LARIMER,Pet Animal Small Shelter,3/2/2026
"Avalon Aviary, LLC",Avalon Aviary Bird Store,Loveland,CO,LARIMER,Bird Band,3/2/2026
"Avalon Aviary, LLC",N/A,Loveland,CO,LARIMER,Bird Breeder,3/2/2026
"Avalon Aviary, LLC",N/A,Loveland,CO,LARIMER,Bird Band,3/2/2026
Averys Country Canines LLC,N/A,Byers,CO,ARAPAHOE,Pet Boarding and/or Training,3/2/2026
"Avon Veterinary Center, Inc.",Avon Pet Centre,Avon,CO,EAGLE,Pet Boarding and/or Training,3/2/2026
"Avon Veterinary Center, Inc.",Avon Pet Centre,Avon,CO,EAGLE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
AVPM CO PC 1 LLC,Elk Park Animal Hospital,Pagosa Springs,CO,ARCHULETA,Pet Boarding and/or Training,3/2/2026
AVPM CO PC 1 LLC,Elk Park Animal Hospital,Pagosa Springs,CO,ARCHULETA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Aztec Animal Shelter,N/A,Aztec,NM,OUT OF STATE,Pet Transporter,3/2/2026
B & B Allen Endeavors,Round-Of-APaws,Centennial,CO,ARAPAHOE,Pet Boarding and/or Training,3/2/2026
"B M K, Incorporated",Beau Monde Kennels,Castle Rock,CO,DOUGLAS,Pet Boarding and/or Training,3/2/2026
"B,A,D, Dogs Welcome LLC",B.A.D. Dogs Welcome LLC,Aurora,CO,ARAPAHOE,Pet Boarding and/or Training,3/2/2026
"B,A,D, Dogs Welcome LLC",B.A.D. Dogs Welcome LLC,Aurora,CO,ARAPAHOE,Pet Handler,3/2/2026
"BA Bakers, LLC",Sit Means Sit,PUEBLO,CO,PUEBLO,Pet Boarding and/or Training,3/2/2026
"BA Bakers, LLC",Sit Means Sit,PUEBLO,CO,PUEBLO,Pet Handler,3/2/2026
"BA Bakers, LLC",Sit Means Sit,PUEBLO,CO,PUEBLO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Bailey & Doherty, Inc",Creature Comforts Pet Retreat,Loveland,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
"Bailey & Doherty, Inc",Creature Comforts Pet Retreat,Loveland,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Bailey grooming,N/A,Bailey,CO,PARK,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Bailey Laundromat LLC,Bailey Laundromat and Dog Wash,Bailey,CO,PARK,Pet Grooming Facility - Self Wash Facility,3/2/2026
Bailey?s Pet Spaw,N/A,Westminster,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Baily II, LLC",Camp Bow Wow,Centennial,CO,ARAPAHOE,Pet Boarding and/or Training,3/2/2026
"Baily II, LLC",Camp Bow Wow - Parker,Parker,CO,DOUGLAS,Pet Boarding and/or Training,3/2/2026
Ballistic Morphs Reptiles Ltd.,Scales N Tails,Lakewood,CO,JEFFERSON,Retail / Wholesale of Pet Animals,3/2/2026
Ballistic Morphs Reptiles Ltd.,Scales N Tails,Lakewood,CO,JEFFERSON,Small Animal Breeder,3/2/2026
Ballistic Morphs Reptiles Ltd.,Scales N Tails,Lakewood,CO,JEFFERSON,Pet Animal Small Shelter,3/2/2026
Baphomatic Grooming Ltd,N/A,Northglenn,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Baphomatic Grooming Ltd,N/A,Northglenn,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026
Barbara A. Bowman,"Colorful Bengals,Rainbow Schnauzers",Delta,CO,DELTA,Bird Breeder,3/2/2026
Barbara A. Bowman,"Colorful Bengals,Rainbow Schnauzers",Delta,CO,DELTA,Cat Breeder,3/2/2026
Barbara A. Bowman,"Colorful Bengals,Rainbow Schnauzers",Delta,CO,DELTA,Small Scale Dog Breeder,3/2/2026
Barbara A. Bowman,"Colorful Bengals,Rainbow Schnauzers",Delta,CO,DELTA,Bird Band,3/2/2026
Barbara J. Neiswander,Doggie Kamp with Cats on the Side,Woodland Park,CO,TELLER,Pet Boarding and/or Training,3/2/2026
"Bark & Play, Inc.",N/A,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
Bark Beauty Pet Salon LLC,Bark Beauty Pet Salon LLC,Parker,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Bark Me Beautiful Pet Grooming, Inc.",N/A,Longmont,CO,BOULDER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Bark N Wash,N/A,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Barkin Barn, LLC",N/A,Elizabeth,CO,ELBERT,Pet Boarding and/or Training,3/2/2026
"Barkin Barn, LLC",N/A,Elizabeth,CO,ELBERT,Pet Handler,3/2/2026
Barking Blackstone LLC,N/A,Wellington,CO,LARIMER,Pet Grooming Facility - Mobile Groomer,3/2/2026
"Barkly Manor, LLC",Barkly Manor,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
